18,CMT,01/11/12 1:18,01/11/12 1:35,1,5.4,-73.984519,40.779776,1,N,-73.947342,40.764681,CRD,0.5,0.5,3.8,0,22.8
10,CMT,01/11/12 1:18,01/11/12 1:28,1,2.4,-73.996082,40.753302,1,N,-73.985783,40.727865,CSH,0.5,0.5,0,0,11
35.5,CMT,01/11/12 1:18,01/11/12 2:16,1,5.4,-73.970535,40.799144,1,N,-73.957026,40.770164,CSH,0.5,0.5,0,0,36.5
5.5,CMT,01/11/12 1:18,01/11/12 1:22,1,1.1,-73.95656,40.771124,1,N,-73.960994,40.757343,CRD,0.5,0.5,1.62,0,8.12
10.5,CMT,01/11/12 1:18,01/11/12 1:27,1,2.7,-73.959062,40.771722,1,N,-73.967998,40.80017,CRD,0.5,0.5,2.85,0,14.35
12.5,CMT,01/11/12 1:18,01/11/12 1:31,1,3.5,-73.956459,40.777968,1,N,-73.991489,40.746352,CRD,0.5,0.5,1,0,14.5
12.5,CMT,01/11/12 1:18,01/11/12 1:30,1,3.2,-73.978983,40.787686,1,N,-73.997304,40.753697,CRD,0.5,0.5,1.5,0,15
5,VTS,01/11/12 1:19,01/11/12 1:23,4,0.9,-73.965787,40.712837,1,,-73.95771,40.719817,CRD,0.5,0.5,1,0,7
4.5,VTS,01/11/12 1:19,01/11/12 1:23,2,0.62,-73.949488,40.71409,1,,-73.959487,40.718077,CSH,0.5,0.5,0,0,5.5
6,VTS,01/11/12 1:19,01/11/12 1:25,1,1.28,-73.989975,40.729388,1,,-73.974115,40.731343,CRD,0.5,0.5,1,0,8
8,VTS,01/11/12 1:19,01/11/12 1:27,1,1.67,-73.99359,40.762457,1,,-73.971627,40.764382,CRD,0.5,0.5,1.7,0,10.7
9,VTS,01/11/12 1:19,01/11/12 1:29,2,2.43,-73.983905,40.757635,1,,-74.00402,40.737577,CSH,0.5,0.5,0,0,10
10.5,VTS,01/11/12 1:19,01/11/12 1:29,1,2.48,-73.988122,40.75967,1,,-73.973467,40.789747,CSH,0.5,0.5,0,0,11.5
23,VTS,01/11/12 1:19,01/11/12 1:45,1,7.42,-73.986228,40.762335,1,,-73.935802,40.697313,CSH,0.5,0.5,0,0,24
15,CMT,01/11/12 1:19,01/11/12 1:31,1,4.7,-73.990002,40.74665,1,N,-73.942188,40.794904,CRD,0.5,0.5,4.8,0,20.8
6,CMT,01/11/12 1:19,01/11/12 1:21,1,1.5,-73.959662,40.711193,1,N,-73.986062,40.717925,CSH,0.5,0.5,0,0,7
6.5,CMT,01/11/12 1:19,01/11/12 1:26,1,0.8,-73.954441,40.717656,1,N,-73.962585,40.708583,CRD,0.5,0.5,1.87,0,9.37
10,CMT,01/11/12 1:19,01/11/12 1:26,1,2.8,-73.991099,40.751079,1,N,-73.977967,40.783685,CSH,0.5,0.5,0,0,11
18.5,CMT,01/11/12 1:19,01/11/12 1:36,1,5.6,-73.940052,40.708427,1,N,-73.975519,40.751178,CRD,0.5,0.5,4.85,0,24.35
3,CMT,01/11/12 1:19,01/11/12 1:20,1,0.2,-73.991289,40.750986,1,N,-73.988988,40.748156,CSH,0.5,0.5,0,0,4
8,CMT,01/11/12 1:19,01/11/12 1:27,2,1.5,-73.904886,40.745475,1,N,-73.927529,40.742234,CSH,0.5,0.5,0,0,9
13.5,CMT,01/11/12 1:19,01/11/12 1:34,1,3.3,-73.974494,40.751107,1,N,-73.982915,40.784224,CRD,0.5,0.5,3,0,17.5
7,VTS,01/11/12 1:20,01/11/12 1:25,3,1.75,-73.950732,40.779197,1,,-73.967187,40.758822,CRD,0.5,0.5,1,0,9
6,VTS,01/11/12 1:20,01/11/12 1:26,5,0.86,-73.976477,40.762747,1,,-73.981942,40.768622,CRD,0.5,0.5,1,0,8
6.5,VTS,01/11/12 1:20,01/11/12 1:26,1,1.43,-73.960178,40.768475,1,,-73.9685,40.755567,CSH,0.5,0.5,0,0,7.5
12,CMT,01/11/12 0:34,01/11/12 0:44,1,3.6,-73.991678,40.731112,1,N,-73.989049,40.770991,CRD,0.5,0.5,2,0,15
4.5,CMT,01/11/12 0:34,01/11/12 0:37,1,0.9,-73.977521,40.784405,1,N,-73.971227,40.795155,CRD,0.5,0.5,1.1,0,6.6
8,CMT,01/11/12 0:34,01/11/12 0:41,1,1.6,-74.001031,40.736734,1,N,-74.001031,40.736734,CRD,0.5,0.5,1.8,0,10.8
4,CMT,01/11/12 0:34,01/11/12 0:37,1,0.6,-73.970666,40.755968,1,N,-73.964687,40.763812,CRD,0.5,0.5,1,0,6
7,CMT,01/11/12 0:34,01/11/12 0:41,1,1.5,-73.952154,40.782079,1,N,-73.951035,40.798466,CSH,0.5,0.5,0,0,8
